habilidad_cliente,nivel_cliente,Concat_Habilidad_UBITS
Ingeniería de datos - N3 - E,Intermedio (Nivel 3),"201428,27560,27598,27591,7388,7549,7456,203065,200269,7669,1955,201431,5287,201336,7513,27465,202399,7619,7655,200262,200527,7435,7425,200257,7433,27643,201291,200763,7438,200289,7403,200261,9877,9839,7324,202030,7575,200518,6591,200274,7437,7389,26568,202743,201301,202047,7428,2008,7620,201278,7316,200276,201429,7471,201268,201445,200633,15198,2231,8114,29137,7521,203106,203602,202966,7671,27557,27550,7402,9017,5288,16526,201641,201470,202166,12851,9019,202731,201262,202196,27729,7454,7393,1523,200517,200524,201271,9174,204183,7368,7411,11061,27657,201955,200284,202020,201439,9160,204196,202195"
Ingeniería de datos - N4 - E,Avanzado (Nivel 4),"3711,6609,201336,10481,201071,10480,200579,5097,382,3370,202437,203661,18057,201196,200605,6602,203662,1591,10479,10991,10986,200586,201606,204135,200599,1698,10477,11055,29286,1297,200600,201932,10992,202743,1269,11153,200608,809,2485,203665,17160,7506,201268,201271,201145,364,6593,20,1535,203065,200633,203660,200611,29288,25562,204,21,10482,200140,200592,202369,203452,15289,1270,28565,29285,1986,202047,1621,386,7669,202066,7672,201433,1259,15198,11131,5516,628,200615,11062,11543,10180,11013,203664,26182,11152,2271,2046,16008,16089,11038,12851,200587,200134,10483,10994,16038,11136,201598"
Ingeniería de datos - N1 - H,Básico (Nivel 1),"2271,203065,7770,201431,202030,201936,7855,27598,201571,1473,201598,201428,16008,200599,202446,202437,7403,203594,29247,1713,201932,200262,201114,1523,202047,1842,16967,2241,203606,204087,8114,15289,202927,202020,7435,202959,1986,16526,7444,26568,666,364,20041,201426,2008,15463,7513,4130,203637,5288,1269,200461,2089,202199,27675,200326,201927,201436,2231,12222,9360,2513,200527,204217,29439,200574,200472,204196,10043,202966,2088,12029,201336,7655,1864,1505,202485,3779,15874,5305,202949,15788,26712,18057,201268,200285,202951,19193,27726,7402,86,8939,30298,201189,1591,8767,201641,200261,4901,11473"
Ingeniería de datos - N2 - H,Intermedio (Nivel 2),"7669,204135,200257,201268,201291,200527,201336,203065,27218,200261,25103,27598,9877,203106,6602,201606,25104,201932,200763,202172,202030,202047,10986,7513,201308,12222,200633,7521,7327,201431,202743,201271,200262,202195,27560,202196,9160,27737,201428,201288,204243,610,5516,7435,202485,200269,201262,2008,7454,200323,6591,203654,202966,7403,9506,201297,201196,29145,7388,1269,201165,12814,29397,200600,9019,7322,7459,202437,2089,1955,9166,8063,27590,8061,7438,201936,200140,202190,200586,27664,20,201445,201286,204222,29439,6653,7402,26568,1505,202745,22421,29141,201433,203606,7367,7370,201603,12851,6592,27591"
Ingeniería de datos - N3 - H,Intermedio (Nivel 3),"27598,202485,29247,7855,7444,27675,9912,202030,203065,2008,13820,203654,610,2089,26705,2241,200527,1844,2513,201426,201291,202444,26568,201288,2271,201308,8063,7770,202049,15874,9887,202966,8061,7459,201165,19572,9911,201271,200599,25104,202066,19601,200262,201598,201336,201262,201603,10439,202058,1535,2088,2021,201286,7402,12851,200261,9254,7435,29250,1269,7403,1910,7013,3332,12222,18123,6575,2312,20,9506,7437,7372,2316,29397,7440,19091,204087,201268,202047,8114,9143,201641,1087,1986,203106,4901,7487,202020,7370,10043,1473,201297,200326,386,201435,12621,1523,26667,200328,202196"
Ingeniería de datos - N4 - H,Avanzado (Nivel 4),"27598,9877,7388,7669,1955,201271,7393,27729,9017,200269,7549,200527,27643,29137,200257,27465,201470,7432,10092,201268,201291,201439,7411,27590,202196,9019,201428,200261,7456,27591,200289,200274,201431,7438,7402,200312,200271,201433,200285,201432,7435,27726,9839,13462,200280,15198,27592,7405,200323,200264,560,7425,7403,29141,7521,27557,200275,7471,12851,7370,7428,200507,201336,25103,200503,200587,7324,27566,7392,200262,201437,7532,200295,200319,201286,200284,7548,201288,27594,7401,204136,25097,201262,12718,3991,204197,1986,200272,200516,1188,5287,7374,7454,7377,201606,15199,7445,7433,200281,203065"
Inteligencia de negocios y herramientas no-code - N1 - E,Básico (Nivel 1),"202047,29288,201014,1269,28862,201332,200579,1311,1864,1259,1591,200581,1267,1580,1301,809,29284,3370,200586,201114,29285,784,1643,1297,29287,200576,200140,29286,200614,1698,1270,1713,200612,20,200618,1535,1842,200136,2271,201062,200599,1986,202437,1621,200598,666,200602,200589,200588,382,200617,682,16038,21,200262,203065,29289,200610,45,200608,200587,1549,204,200604,201172,204135,2008,203452,18057,86,200603,465,24909,200600,203058,201932,202020,202169,200137,1523,1915,200615,204378,26182,200609,10043,200304,3747,203662,200577,381,386,9360,2523,200613,3725,200601,200606,5281,3906"
Inteligencia de negocios y herramientas no-code - N2 - E,Intermedio (Nivel 2),"201332,200140,3370,200579,28862,201014,809,1297,29288,1270,1301,200586,784,29286,1311,29287,1269,16038,29284,386,20,465,1267,1591,29285,200576,7546,3725,382,16079,202047,200613,7676,16095,1698,200602,200610,203653,1259,29289,21,200598,201172,1643,16089,381,343,203661,200136,18057,200600,464,200589,203451,203642,200581,200611,200618,666,3747,7921,200304,86,202366,200609,1580,200587,16059,2523,1621,3494,203663,200601,203058,200137,203056,1535,201114,200617,200599,29283,7606,638,204,10986,1864,200604,202437,3906,33,200606,200608,3392,203648,5281,610,432,26182,91,1713"
Inteligencia de negocios y herramientas no-code - N3 - E,Intermedio (Nivel 3),"202047,1269,200617,201014,28862,200579,200576,3370,202437,29288,1986,200140,200598,200262,29286,203065,1864,809,1297,201332,200599,1301,200602,1591,18057,204135,682,201932,1535,1270,203662,26633,2008,29284,200633,201336,200586,200763,200600,1842,201114,203452,201641,26182,200608,2271,204,200581,20,666,203643,3747,24909,11092,1311,1580,1267,26624,200136,202161,17159,382,1259,201584,201172,201431,29283,202169,11153,203663,202172,26591,202066,12813,200263,1915,200157,7674,204378,203665,26712,201062,203647,200614,29285,1621,29443,200577,3392,202949,201927,15,1713,203661,200603,1643,200589,15198,204192,2231"
Inteligencia de negocios y herramientas no-code - N4 - E,Avanzado (Nivel 4),"200579,200586,29286,28862,29288,1297,201014,201332,3370,16059,16089,16079,202047,200613,16095,1591,1301,809,200140,16038,29284,3392,1269,29287,3747,200304,200611,382,7546,200610,20,29285,10986,200608,7676,1267,24909,1311,200598,200589,203661,202161,201172,9088,28565,203643,200618,610,202966,464,386,200609,29289,666,200576,202169,203058,203659,200600,1270,1535,2173,21,203646,204135,202190,202437,201062,200581,203660,2338,200137,86,202172,201336,203065,354,200134,201932,10992,465,200136,203207,18057,202444,4137,26182,1643,200599,203452,202199,174,3725,7607,7207,29145,6653,201196,202066,200587"
Inteligencia de negocios y herramientas no-code - N1 - H,Básico (Nivel 1),"1269,2271,1297,200586,1713,202047,28862,29288,1301,203065,202020,666,200609,1267,1986,16664,1311,202437,200579,20,1864,200611,1259,24909,201014,200599,1270,682,7770,1535,19167,809,200610,201571,200614,1523,29286,202927,202199,1842,3779,26182,9360,1591,18057,201114,201932,201332,16008,7444,364,354,200612,200600,200598,200608,26712,16855,29285,3747,203452,386,6836,201062,3370,86,610,200576,201426,15289,19193,784,26624,202446,204209,4137,29284,29443,203594,1698,200581,201936,12137,1580,2116,202161,27479,16967,203058,7437,201431,338,200604,201927,200618,201598,45,16038,203203,2231"
Inteligencia de negocios y herramientas no-code - N2 - H,Intermedio (Nivel 2),"3370,1591,1270,200587,1269,28565,204135,200579,3747,200601,201014,29286,200618,29288,20,200604,202047,3392,200586,200606,201932,201268,1259,200599,1643,1621,203643,4137,200763,201114,200600,386,201433,200576,610,201172,809,382,200608,25103,200577,203207,200603,27218,201062,201196,203566,201439,1713,88,1580,86,27737,202196,200140,28862,203058,202437,21,29284,200157,1864,5281,1297,200614,200598,26546,202722,201332,3725,200136,15198,82,1301,200633,200613,5298,1986,1535,200581,200589,201336,204378,464,7440,25097,202172,201435,29289,12814,200607,1698,200611,202200,200602,24456,203661,29287,202369,203452"
Inteligencia de negocios y herramientas no-code - N3 - H,Intermedio (Nivel 3),"200599,27675,202047,1864,202020,201426,7444,1269,1910,2271,1591,202444,682,1986,1535,3370,2008,532,200610,1259,3494,1301,203203,1064,18079,202199,610,3390,202437,201571,1713,7855,7770,15874,1087,24909,29288,19575,17345,200608,202066,28862,15728,1297,666,7487,24456,10043,1188,201114,45,2278,200609,201598,27598,21495,26699,1270,3889,204181,18057,201332,717,201951,19091,202927,201014,202172,202030,1923,203636,200579,200326,203452,81,1311,3779,200576,23263,2489,3629,3817,200581,19572,1302,20386,2090,16840,9911,16664,201641,27399,137,201596,15985,201932,201435,204378,203065,1960"
Inteligencia de negocios y herramientas no-code - N4 - H,Avanzado (Nivel 4),"204378,202047,200763,3747,202172,2175,201172,8063,201572,203452,200539,200586,203207,1915,203203,203043,203450,203581,2272,203646,20,201014,1269,1301,3392,200596,201332,203643,202030,1864,201166,200157,202444,203566,6653,200600,200579,4140,201566,15327,1190,3370,203190,1259,29286,201196,5512,202711,203058,2089,24456,203594,201079,2538,203029,27737,202169,16502,200605,1535,201217,6686,5281,202394,29284,91,29288,202396,203600,1986,200589,200575,610,17160,809,203662,203578,200615,202485,200611,61,200581,201193,432,203526,202032,1297,26633,7840,21,666,2176,201286,88,28862,200609,200590,518,202049,5271"
Interpretación de insights y visualizaciones de datos - N1 - E,Básico (Nivel 1),"201184,1549,18057,1535,200140,20,1534,29267,203065,7676,18964,200579,202437,201927,202047,10986,1297,809,465,22196,7606,1643,7921,343,16079,1311,666,7504,7546,382,28862,204209,1591,16008,29288,201014,201336,1269,203660,3906,16038,4137,29404,29287,5516,7607,7505,7506,638,29281,381,201114,202366,1301,22620,13838,7547,202161,29377,202066,200586,29424,29283,27368,202722,200598,27550,386,201062,7545,15198,200136,200610,200262,1523,29284,682,200617,29265,12116,26624,203056,ID,27560,201936,16526,2008,29255,1842,16059,203662,29382,29227,200576,7674,354,202065,29266,29443,16967"
Interpretación de insights y visualizaciones de datos - N2 - E,Intermedio (Nivel 2),"18057,201184,1297,1311,29267,204209,202047,1535,200579,1549,7547,200140,7504,5516,12116,7606,28862,20,7676,16038,1301,203065,1534,465,200586,29288,16008,1591,22196,1270,809,7546,202437,18964,8939,200916,203660,1269,7607,7674,7545,7506,204246,29281,16079,201014,3906,2271,381,4016,2231,29227,202449,7505,201927,202066,29287,ID,784,10986,1643,343,29443,24910,29424,1523,201114,204233,382,202366,202055,201431,7437,200291,47,573,202065,29255,10481,16059,29404,10483,7671,9088,2116,3370,202020,666,29387,201932,9360,4137,1267,27957,201336,203661,29285,200137,200610,3779"
Interpretación de insights y visualizaciones de datos - N3 - E,Intermedio (Nivel 3),"18964,201184,1297,12116,29281,18057,22620,7676,1535,200140,204209,7546,203065,7547,3906,200579,202047,16008,202437,29267,201927,16038,7504,2116,1311,465,16079,7606,7545,200916,5516,7674,7506,28862,29227,1269,20,29424,1549,7607,22196,10986,29443,1534,1270,16059,8035,201014,1301,1591,4016,27560,9360,8939,202927,7505,27550,29288,809,204246,1523,29387,201062,200136,29255,201936,27361,29287,29404,26182,666,201114,200586,203660,11980,16089,16095,4137,1643,26712,201336,26679,202066,2231,27957,13838,24909,1621,7921,202161,381,7575,17422,200137,7437,2271,386,204205,202068,15687"
Interpretación de insights y visualizaciones de datos - N4 - E,Avanzado (Nivel 4),"1535,201184,18057,1549,200140,666,1297,22196,203065,29267,202047,20,204209,7676,200916,27560,1311,7606,200579,201014,16008,202437,809,7546,7547,1270,7921,18964,5516,465,1534,8939,7437,201927,12116,26182,7504,16038,29281,9360,28862,29288,16079,29227,1301,19193,1269,1591,203665,29424,201431,200612,202199,29404,10986,15198,16059,7607,7505,202722,4016,7506,27550,201336,201936,19789,27361,381,29387,343,202366,203660,29255,202066,4405,29382,201114,200586,29443,203663,202065,1523,202369,7655,7575,203056,204246,784,382,2008,29265,202068,7671,204227,7545,200137,296,1621,2271,27334"
Interpretación de insights y visualizaciones de datos - N1 - H,Básico (Nivel 1),"200140,18057,201184,18964,20,2116,809,7676,7546,1549,1297,1535,29404,354,16079,29267,465,4137,22620,12116,202047,7606,343,3906,200579,1534,7921,29281,16038,16008,6696,1311,5516,10986,29227,22196,29424,28862,29377,17422,200916,203065,15696,204209,29255,200801,27560,7547,16059,201592,202437,201014,386,29443,7985,3262,202065,16095,204233,1591,202068,1643,381,7504,204246,1301,58,7607,382,329,29288,29387,200586,9110,18663,7506,26182,1270,29283,29265,24418,9088,1269,16089,7505,666,9360,29382,202059,784,201927,29268,203030,19034,204215,8091,607,203665,201336,203056"
Interpretación de insights y visualizaciones de datos - N2 - H,Intermedio (Nivel 2),"201184,1535,20,18057,666,1549,200579,4137,203065,16079,200140,7676,18964,202047,29424,1269,16059,29288,465,16008,7546,10986,343,7504,22196,16038,202927,202437,29227,7547,1297,638,809,204209,16089,203058,200586,202068,7606,7607,29286,16664,7921,202066,29443,5516,202161,29267,1986,200612,26182,200916,29255,15831,200137,201932,16095,10481,12116,203660,201114,7506,20597,382,7505,29404,203659,1534,202059,1270,1591,1301,3906,201936,200610,200611,200588,201336,201431,201927,29397,24909,16967,19184,200589,28862,204205,202369,202065,29287,204214,29281,202446,18663,86,200581,28565,2271,2116,1643"
Interpretación de insights y visualizaciones de datos - N3 - H,Intermedio (Nivel 3),"204209,18057,8939,16520,1535,22196,201184,204206,203065,1549,18964,16008,1297,20,4901,7437,1534,202047,29227,27348,202066,22187,7504,1311,16664,200579,25467,1301,7547,7765,202927,2271,29404,1523,22195,4405,15463,200916,202020,1269,200140,201955,1591,7807,16742,16079,19091,386,5516,15831,3906,202437,29288,201927,10481,16038,7444,7606,3494,16059,200612,29281,4137,24182,7676,201936,26182,29443,16526,7506,7546,465,26679,2099,16967,26624,15198,10986,20597,7435,12116,2291,296,24181,3779,200586,13810,6599,201114,201062,29268,200136,202065,19327,610,200137,2116,201431,666,26589"
Interpretación de insights y visualizaciones de datos - N4 - H,Avanzado (Nivel 4),"203065,201184,202047,20,4137,201431,1535,200612,29288,201932,2116,18964,204205,666,7606,18057,200579,200614,7505,465,7676,201936,16089,202199,202437,7547,29281,200916,7504,200140,200588,203058,16059,200586,16079,10986,200589,202927,201927,16008,202161,16038,7506,26182,200138,1297,204209,203660,204214,86,20597,200134,1864,1269,200611,809,7607,202722,24181,3906,22620,5516,200581,201062,202066,200137,1591,1713,7546,29286,29287,638,29424,16967,1549,27363,1523,1301,200598,26936,28862,200618,16095,7671,200136,7575,15338,22196,27550,200610,19193,13838,15831,10481,204255,1643,24909,16664,24182,202065"
Interpretación de insights y visualizaciones de datos - N1 - M,Básico (Nivel 1),"200586,20,18057,1297,200140,200916,465,16038,5516,200579,29288,10986,7676,201184,7547,204209,203065,28862,200611,7546,29281,18964,16089,16079,7504,1591,202047,4137,2116,201268,29287,809,22196,202066,200610,7606,29443,12116,1311,1535,202065,7506,202437,10481,29424,201431,16095,3906,29404,200598,16059,382,200612,1301,29255,201932,10992,29267,1549,202927,204205,1269,203660,15696,203058,638,7607,201336,201062,86,200608,29227,202722,200614,9088,1270,8939,7505,464,29377,26182,18663,200599,24418,343,16008,201114,201936,24909,1523,666,11199,202059,202055,16526,25103,610,9360,201927,29283"
Interpretación de insights y visualizaciones de datos - N2 - M,Intermedio (Nivel 2),"203065,204209,201184,200612,202047,18057,1535,202927,201932,29288,202437,201927,201936,201431,20,201114,5516,200586,2116,2271,666,4137,1523,16008,1269,200579,202199,29443,86,1297,16855,9360,28862,29227,29281,8939,13810,202161,1986,19193,10481,1311,200916,20597,203058,16967,202446,1591,15289,16038,18964,809,1549,1864,16664,1505,1270,10986,200599,24909,465,202066,15338,204205,29424,1713,200140,22195,16079,26679,7547,15463,201336,16059,7504,204135,29404,200611,15831,26182,16742,22196,200610,202369,200614,202065,7855,22187,2093,200588,4405,27362,1301,1621,201268,201062,18661,26712,204214,202190"
Interpretación de insights y visualizaciones de datos - N3 - M,Intermedio (Nivel 3),"203065,200612,200611,203058,20,16089,18057,201184,1535,202047,200579,201932,2116,200586,201431,200140,10986,4137,29288,200138,16038,200916,7547,16079,5516,201936,18964,7504,202437,1297,204209,7676,7546,202190,16008,202161,29281,1523,809,204135,29404,666,202722,465,10481,7606,202066,29287,201336,200763,200598,7506,7607,201114,204205,201071,15696,203660,1269,201268,26182,16095,28862,29424,200588,9360,201927,16059,7505,201445,13810,12116,202927,28565,20597,1301,27737,29227,24418,202200,200610,9088,22196,386,13838,1549,16502,1621,202195,86,3906,1505,11098,1986,1534,29443,10992,202169,200581,29283"
Interpretación de insights y visualizaciones de datos - N4 - M,Avanzado (Nivel 4),"18057,17422,203065,200140,16502,1535,20,16008,201936,15316,200579,201033,201119,202966,809,202437,201184,16152,7546,4137,7676,1301,201336,24020,201014,204209,5516,29404,16079,203072,201008,2116,201598,201048,203073,1986,16089,13703,24722,7547,7606,203045,1297,200586,1523,16967,10986,1864,202161,201932,15552,201043,8801,1269,203041,354,202047,203038,15343,202172,23936,202921,18663,7504,1505,15831,386,19193,18964,3768,201113,19091,16813,204118,6196,200811,14,200587,786,16095,12621,29424,200611,13838,28862,26679,16855,203050,3399,203058,20199,666,201433,201641,29443,16038,15463,3916,22872,20045"
Modelado predictivo y aprendizaje automático - N1 - E,Básico (Nivel 1),"202446,4016,202445,7484,202161,27730,201683,202164,202163,27675,201803,201426,204192,7504,7460,201951,202118,200326,201434,27357,201079,4846,201641,204178,200681,201291,201433,4025,201189,203065,202191,202066,204185,27355,5272,202196,4901,27668,200133,202193,202190,27344,7765,7547,202703,201155,27399,29113,202030,4512,204135,1915,200262,201126,202200,27348,204196,29114,4405,201932,27737,201680,200539,201475,28565,201445,201955,7459,27520,666,204186,21482,204378,203452,2951,1535,27600,201432,204246,203586,29283,19193,202706,202068,27571,8267,27359,204215,202058,1473,7518,200576,204177,200157,203106,1505,15198,203598,204336,2105"
Modelado predictivo y aprendizaje automático - N2 - E,Intermedio (Nivel 2),"4016,204246,202445,202446,202366,203451,7518,27730,7671,202118,201683,203056,27357,203663,27668,29283,1270,201291,201955,203106,204178,201079,27675,201803,29387,784,27361,7504,202167,3370,5310,203653,201155,27343,29117,201433,202161,29141,7460,200133,382,204192,204378,29113,201336,27600,203665,200576,201641,204174,15198,7547,201441,200602,204215,200155,24949,200306,27595,200579,7669,203207,201432,2056,202066,203661,204135,202369,381,204175,203662,201189,7452,203642,203450,201434,7440,27355,204177,386,202196,27348,204250,27328,91,7672,204190,201039,28565,27558,200617,203641,7459,1915,27677,201014,202449,27687,28862,200284"
Modelado predictivo y aprendizaje automático - N3 - E,Intermedio (Nivel 3),"4016,27730,202446,204246,201683,202445,27357,204178,201803,27355,204192,201641,27343,201079,7504,201434,202118,27675,7460,201155,7484,200133,202161,201426,27361,27668,200284,202366,201189,7518,27600,29113,7547,203056,29283,201291,200326,7732,7671,203106,15198,200155,27348,204186,204175,4846,202066,204185,201435,5272,28565,204177,202166,204174,200602,29127,29117,200262,202196,203665,204135,204215,27571,5310,201445,201951,ID,201433,29387,201680,27344,7765,200617,1270,27246,27595,200291,201126,204196,27558,201932,201441,200576,201039,203451,27399,202703,29114,203065,7374,204181,27334,29141,204378,27677,203663,202449,200681,200598,29145"
Modelado predictivo y aprendizaje automático - N4 - E,Avanzado (Nivel 4),"201803,27348,7437,7440,202446,201433,202118,201683,7452,202196,202161,203065,201432,27730,200133,201955,204178,4016,200326,202445,1915,201641,7444,27668,200576,27357,27675,201291,7484,4901,204135,201426,204216,7487,7447,202066,202197,202164,204217,7459,201932,204196,201445,203106,202191,202163,201189,200617,202200,29283,201079,200577,7504,204185,201951,202743,201155,201435,202966,202190,7460,200608,204215,201927,200262,7765,202030,27351,ID,200763,202166,27344,27958,29113,200599,15198,28565,2008,202193,200681,7770,201604,4846,1505,200579,201475,27355,200602,200598,200601,201598,27687,27520,27360,202706,201428,201431,202437,204181,201434"
Modelado predictivo y aprendizaje automático - N1 - H,Básico (Nivel 1),"201803,202118,4901,27348,202446,202445,204217,7444,201683,4016,201426,202066,201433,202196,201189,201598,200133,27675,202161,201291,4846,202193,201641,7511,7459,201932,202191,7452,201432,27730,202163,27357,200608,201955,200577,202164,204135,6609,201951,28565,201435,5310,202200,4512,7504,2016,202743,202190,204185,202058,200602,27351,386,27355,202030,7460,201434,7437,203106,7547,201079,202197,27334,201155,203065,1915,200605,200326,200576,16008,27520,200601,202703,27399,204178,204216,7484,201437,202706,2951,29113,200607,362,201475,27344,27246,4405,27360,7447,7765,202055,4161,27600,201472,202715,3779,200603,27668,202070,202168"
Modelado predictivo y aprendizaje automático - N2 - H,Intermedio (Nivel 2),"202118,201803,202161,4016,202196,201426,202446,27348,201641,27675,29387,4901,202066,201155,27668,201433,7444,28565,27730,201434,200602,201435,7452,201189,29283,201683,7460,202163,202445,204217,204246,202191,203106,202193,6696,27357,386,201598,200598,7504,200140,200133,201291,203065,7484,200601,202743,201932,7437,1270,200576,204135,7985,204185,200326,201955,362,27334,201432,27399,202966,201441,58,204192,354,204178,7547,666,7765,ID,201427,200608,204216,7459,202058,200579,201079,200593,4846,27246,202068,6609,201951,7440,204215,202706,200577,204221,203056,27560,23447,202167,7511,204181,17373,201336,7732,202200,18688,202197"
Modelado predictivo y aprendizaje automático - N3 - H,Intermedio (Nivel 3),"202446,202118,27348,201803,4016,201683,201426,202445,201955,202161,203065,7765,27675,201189,204217,4901,7452,200681,202196,7440,201932,4405,27730,204185,19193,201433,202030,7504,202164,4846,201432,200326,22199,7437,200133,202066,7444,201641,7770,202197,204237,204178,11473,15289,201431,201291,201475,201951,27520,7459,7547,7511,200599,202193,2271,204135,204196,202163,200461,204216,202191,27357,203603,203594,27355,201079,200608,7460,201936,4512,201434,1473,8939,1523,202200,200576,16520,200262,7484,204192,16008,27334,200549,5272,201438,29113,201436,27344,203595,202703,4025,202190,204087,200889,26705,202743,27737,5305,201435,203606"
Modelado predictivo y aprendizaje automático - N4 - H,Avanzado (Nivel 4),"202118,202193,27348,7440,202446,202196,202445,201189,201433,201803,201955,202161,201432,201291,201196,202066,202163,201437,7452,202197,7459,201641,202164,202191,7504,203578,204217,28565,201438,204135,203065,201683,200605,7765,200763,4016,203106,27675,201932,7547,203566,201426,202030,202190,201951,202058,27668,19572,200326,202743,27737,25562,202168,19573,27357,201431,7460,202195,200681,7484,7444,201598,202706,203594,27362,202200,4901,201268,1915,202070,201435,200133,201445,200576,27730,3779,200901,204216,202369,203452,433,27399,201079,204196,13870,200599,29113,5272,4025,27600,27520,201155,29283,204237,3494,204378,10481,204185,12715,201434"
Modelado predictivo y aprendizaje automático - N1 - M,Básico (Nivel 1),"202118,201426,201951,201433,28565,7765,201932,27675,27348,202446,201291,201803,202445,202030,201955,202191,201641,200133,202193,202196,200326,201427,202200,202743,24944,201189,202161,27730,201435,201683,7440,202709,201432,8930,716,27357,7460,201438,202066,204185,201125,7452,201437,201434,4016,7459,201196,27399,201445,202105,7511,7851,202731,27737,24456,204217,29113,203576,200605,7504,203065,200763,203106,204178,204135,12029,202716,7925,204196,201442,7732,203566,27668,202703,2312,29114,202927,6686,165,7671,4901,13870,8063,202168,202163,202058,204177,204246,27520,202164,30298,7547,27344,5272,27246,1915,202197,201603,27600,201475"
Modelado predictivo y aprendizaje automático - N2 - M,Intermedio (Nivel 2),"201426,27675,7444,202446,202118,201598,4901,201951,200326,7460,201803,202066,7770,19645,202196,201641,202161,200599,204217,7855,4016,27348,203576,204185,201433,202001,19193,7511,202030,201603,27730,202058,203065,201435,7459,7870,15874,201571,202193,201932,201434,202164,204192,203058,203203,200133,1535,201432,202200,201437,27399,203636,3412,202370,2271,200262,26091,1365,204135,27737,202706,201291,666,3425,19572,4025,3779,200608,201680,200539,201189,200612,203452,7848,200267,203654,4405,1915,30298,200605,202172,204087,16008,29250,5315,28565,200603,9143,2312,202445,7440,7484,202927,1188,202163,203566,29225,26633,202369,201155"
Modelado predictivo y aprendizaje automático - N3 - M,Intermedio (Nivel 3),"202196,201433,202118,201291,201432,202197,7447,202446,202445,202030,7440,202161,7459,204135,27675,201955,201641,28565,201189,203065,12851,27348,201803,203106,4016,7452,201426,27668,202066,202193,200326,7460,27246,201951,201271,204178,201932,203041,27247,200133,27730,201435,201268,202709,201445,2312,29113,200763,204177,7504,202743,202195,202191,201427,202200,27737,202172,203450,203578,201166,7402,7444,202164,786,7484,203207,26568,204378,204185,200605,201196,200157,342,25103,201442,203594,203654,201286,204216,202719,1915,201437,7327,201683,202163,201079,201598,29283,204196,5310,12850,ID,9165,201434,27664,202168,27357,202725,203581,27687"
Modelado predictivo y aprendizaje automático - N4 - M,Avanzado (Nivel 4),"202118,202446,202196,202161,201433,27675,201426,4016,202445,201951,200326,7440,201189,201432,201291,201438,202193,200605,7460,202030,201641,202197,201932,27668,202200,27348,202164,201196,203452,201437,201803,204135,203566,201435,201955,4025,202163,200262,7484,200539,204192,203578,201427,27737,2175,7444,19193,7452,28565,201598,204217,27730,1915,204216,7504,7889,7459,5271,204378,202191,202172,16131,201603,202045,201434,201680,200608,203065,203203,25562,203575,203043,1535,7547,200157,200599,202190,200674,203580,202706,3407,29113,4901,15316,4512,202001,201572,27687,27357,204185,204178,7487,7945,204181,19573,7765,27520,201683,200681,200540"
Preparación y manipulación de datos - N1 - E,Básico (Nivel 1),"3711,382,386,200134,1259,203056,21,202722,200136,202366,10989,29285,201955,1591,202369,200576,381,203665,15198,1698,7671,204215,200615,573,203662,7655,203661,33,200579,203065,7437,203663,1270,202966,20,202047,86,201336,29281,16038,2864,16095,25012,200617,7575,200602,202066,203058,200262,1269,809,204,1621,200618,16526,29134,2008,200308,464,628,200581,202437,7669,200608,1549,1535,7967,45,27560,610,201114,1523,200603,200600,200140,7487,201065,827,27550,1643,18057,7672,784,28862,203664,24955,1986,7676,29286,200306,29288,200588,16967,203659,7641,201428,29141,200587,200137,1842"
Preparación y manipulación de datos - N2 - E,Intermedio (Nivel 2),"201955,203665,386,202366,203663,200134,203661,382,203056,201336,202966,202722,24955,11247,202369,203662,3711,15198,16095,21,339,203664,7518,11077,10989,200615,203660,1591,200136,827,11199,7440,8939,7671,203659,10991,1698,1259,201071,10483,203065,7437,628,11071,610,200579,11136,1269,1297,11157,20,573,11155,29285,10480,200576,10479,2864,10482,24948,16520,29387,7672,1270,18057,27373,29281,204246,ID,3370,202437,10481,200608,11080,10556,11124,7669,1986,6609,202066,7641,11014,11143,11078,7438,381,29141,7487,1549,10553,23068,7435,201145,11132,201270,16008,10544,29404,33,27590"
Preparación y manipulación de datos - N3 - E,Intermedio (Nivel 3),"382,202366,203056,386,21,202722,202369,203665,200134,381,20,573,33,10989,1259,628,25012,203663,86,784,1591,809,7671,1270,204,3711,203661,827,45,7967,16095,200136,201955,200588,1698,200602,200579,15198,29285,82,464,203057,201065,203662,201336,343,203058,24955,200615,200618,202711,203659,202437,1621,7437,200576,356,200140,1269,88,91,200581,6597,666,3370,203065,201114,202066,29141,1297,8939,1643,29281,1523,200617,28862,465,200137,200608,29387,600,27560,27550,16526,1986,204205,682,203660,201932,18057,200587,7921,16038,339,7518,200138,2231,29286,201071,610"
Preparación y manipulación de datos - N4 - E,Avanzado (Nivel 4),"203065,201955,7435,16520,201336,1523,202966,18964,382,8939,200134,24182,16526,29397,7437,11071,203665,1842,202066,1591,204214,1269,24181,202722,202437,386,200576,16008,16664,201431,29281,202199,2231,200617,1297,1986,29285,201936,25467,200608,201428,26679,29286,201927,18057,15198,200136,15831,21,19193,2008,7575,201606,29227,16967,16095,201932,3711,7671,2271,7655,203661,201145,202047,1535,20,203662,201268,204228,2291,11078,29382,16059,201071,204122,27550,202369,204110,203663,203660,26712,202020,200579,1549,15289,203577,11053,2116,610,27348,4405,200137,7967,200588,27560,14639,204206,27363,201184,203659"
