habilidad_cliente,nivel_cliente,Concat_Habilidad_UBITS
Análisis estadístico - N1 - M,Básico (Nivel 1),"202066,202046,203065,19516,2093,204205,202065,201155,7967,202070,8088,8091,201932,202437,4405,201927,8889,7870,202068,27363,202725,19193,202161,201125,202743,27344,19113,22195,7965,2750,3682,203058,201431,27362,165,202446,201936,7851,204221,2312,200612,7770,15548,7724,2951,27348,29397,202047,86,202369,6609,2099,3779,8816,8000,19856,202722,7982,7765,202164,202199,6686,204204,671,8774,202927,202072,204255,7732,3690,203012,26644,204256,26675,7925,202057,7902,200588,202055,666,202946,202715,20,2271,663,256,716,16967,6597,7896,6575,202731,200137,1621,7849,6644,19746,7903,784,200614"
Análisis estadístico - N2 - M,Intermedio (Nivel 2),"202066,200612,203058,8088,202065,2750,8097,201155,7770,202070,7511,201431,7965,3779,7967,8091,203065,4405,4901,202369,2093,202446,19193,202046,202164,202058,88,386,202722,204205,2951,200599,3781,3690,3682,4512,202068,716,202370,7724,6597,27362,6575,202161,202163,200133,204204,784,202437,201932,2271,201426,203576,27348,201598,7855,202743,200138,200588,6609,8889,27353,202725,202118,10481,6653,200604,201803,26644,29227,7870,26675,29382,7902,15548,7440,1523,27344,200700,27675,27367,201071,86,202715,19516,204135,201927,20,15338,204133,1591,7982,666,296,202927,202057,202056,16967,7903,16678"
Análisis estadístico - N3 - M,Intermedio (Nivel 3),"202065,202066,201155,8088,203058,3779,7967,16502,7965,203065,19516,8091,2951,16967,19091,200612,202437,203578,2093,14947,16520,202161,202172,19193,201336,201431,203203,8889,386,202446,14410,16793,28565,201927,202369,202722,8767,1566,3690,20,204135,7770,202725,6597,88,201932,2750,86,204221,204205,19572,6653,7851,2271,16678,3781,203654,784,202030,202743,203587,7870,202927,6609,201291,201598,202070,2312,786,1591,8097,8063,2021,8074,204204,8061,202046,202966,19196,201433,201936,202719,202951,7402,202049,200614,200598,6575,201268,7855,200700,3682,19645,15317,19573,202196,716,7440,202164,203603"
Análisis estadístico - N4 - M,Avanzado (Nivel 4),"16502,786,201577,201155,202065,201936,7903,200698,203045,201033,203065,19193,14947,8088,24020,17422,7770,201571,202066,15338,7855,2093,203620,3793,202927,18584,201006,202172,16678,202951,3930,202953,202959,202046,16604,8000,2536,19473,202437,13703,3940,24041,202057,7965,3779,16967,2271,201995,8767,26675,18876,15343,7902,202446,204221,25394,6661,201431,87,22195,3425,202946,13620,3928,16945,17932,22850,22872,19787,203063,203203,22846,8020,3399,5395,19585,203058,8091,21483,201972,8780,22853,15548,1986,14259,27367,16972,16029,201598,201007,201026,201927,203072,202049,19516,8037,203587,7967,18916,20045"
Aplicaciones de datos en el sector Oil & Gas - N1 - E,Básico (Nivel 1),"1535,15198,2008,201936,203065,202437,200306,201932,200262,28862,200140,202966,1549,7655,386,202447,1311,18057,200579,202199,202047,201927,1591,200269,2231,26624,29150,19184,10043,27560,1986,200261,610,200602,201431,200284,1505,7575,1523,7437,1643,203056,201014,666,200515,382,201606,203665,26712,27550,7671,202066,7506,200519,201114,7732,16008,29438,9360,200617,202743,200576,201184,1297,27730,4016,15199,26633,201336,2271,203663,10085,26182,9274,7438,16038,29129,200581,29443,7435,809,201641,200137,1842,200136,7487,1621,15831,1269,15289,2175,1864,29288,573,16059,200155,7606,200270,29134,2291"
Aplicaciones de datos en el sector Oil & Gas - N2 - E,Intermedio (Nivel 2),"201932,201936,201606,202437,1535,203065,16664,1986,26182,10043,2008,364,1523,5086,7889,201435,204135,202199,19184,2271,203452,201431,6575,204188,200599,1591,201426,3779,1643,16008,1269,26712,200262,15831,201114,201572,204122,19575,19570,200576,9360,202047,200608,1864,200456,19193,1713,19563,202020,201598,7487,201927,203549,19091,1912,1311,610,18057,200267,1270,202706,7575,28862,201428,201641,23801,200306,1633,29134,1842,200160,24909,1505,202030,29288,29438,7945,15327,27675,201336,25467,3494,1698,200386,202196,200609,204228,24182,204136,200592,10481,290,202066,202045,201184,2175,7917,18936,200596,15198"
Aplicaciones de datos en el sector Oil & Gas - N3 - E,Intermedio (Nivel 3),"201426,200599,15874,7444,202020,201431,201932,2271,202066,203065,201936,24170,7855,202927,1523,201435,13820,204185,27598,1535,202046,203576,7435,202030,7511,1591,200261,201641,202437,15985,202706,203636,200267,3779,204181,201571,201114,27675,16664,7770,18799,19184,200608,23771,386,200262,1986,202740,200272,201196,19193,28862,10481,15289,7440,26705,26675,202369,201428,200592,15548,2008,202164,610,201434,364,202047,7437,10043,204135,1311,2231,202199,200581,16862,18057,26712,202055,7870,2278,1842,200137,200612,1713,24909,26182,7765,666,203549,86,200614,30298,200576,4901,8118,19572,18650,203452,7730,630"
Aplicaciones de datos en el sector Oil & Gas - N4 - E,Avanzado (Nivel 4),"200262,7855,15874,202951,7730,202030,19585,7903,201936,7444,6575,8767,202953,25394,202020,1535,201435,1019,23771,16148,27466,202057,201426,202954,15338,1986,24182,18744,201932,16678,203065,18799,201431,16403,19441,8084,29277,29216,203548,26591,19193,2271,202967,15831,18147,27520,202746,202750,15198,203203,16502,6626,202946,10043,204136,27479,24170,73,201583,204093,202707,202706,201571,202927,201461,201424,202437,27543,202066,24181,203549,8145,27658,290,27675,26675,201472,203636,202959,8118,21522,8087,2144,18690,24020,14630,202966,201598,6673,15548,1523,2140,201641,7925,18691,203620,16710,21523,1202,202046"
Ciclo de vida de la ciencia de datos (DevOps) - N1 - E,Básico (Nivel 1),"202196,201433,8931,203065,201435,202437,9055,9908,201927,1505,201432,7447,201936,2008,201604,7487,7444,204181,7437,1864,202706,27675,1535,201932,204178,201271,202966,204216,3693,1986,200136,15198,204135,9918,6609,202199,201331,201426,202197,16512,201336,1915,202439,27730,9071,26661,553,201050,9079,4016,201641,1523,4988,2029,200579,201610,202399,75,26633,202047,7655,202066,12851,9024,200326,28565,200262,7484,200137,6639,201014,296,27348,202161,201155,2112,16008,12848,25417,26640,202030,203204,7460,11536,201335,7452,1713,7425,7321,201114,201445,202446,1269,2271,201062,3407,266,17159,203043,799"
Ciclo de vida de la ciencia de datos (DevOps) - N2 - E,Intermedio (Nivel 2),"4016,9070,203056,202366,1270,7437,386,27560,202437,7671,203065,27730,7518,15189,15198,4988,203663,203665,201050,1505,29387,201927,1698,3370,204178,201039,7655,201433,33,7501,1591,2008,4405,27550,29281,2175,202966,202066,27343,7452,7669,7672,204181,200136,ID,27348,7524,201432,24948,6609,9071,1535,200306,9068,201803,201336,1910,202196,2271,1570,7425,381,2056,7641,784,3711,5310,5286,200576,201323,10085,7487,1523,200602,15289,9384,7765,7575,9089,296,24943,7440,382,1269,24949,9908,201932,7444,9050,24955,7374,203662,179,1986,204246,1621,201291,5303,16526,3693"
